pays,region,nom,type,note,lien
Canada,Colombie-Britannique,Whistler Mountain Bike Park,Sport & plein air,,https://www.google.com/maps/place/Whistler+Mountain+Bike+Park/data=!4m2!3m1!1s0x5487234d0643925b:0x6f4a138d3cc4d3b6
Canada,Montréal,Aldea,Restaurant,,https://www.google.com/maps/place/Aldea/data=!4m2!3m1!1s0x4cc91bd2ef6ac9c9:0xe5cf006bce5bbbeb
Canada,Montréal,Amea Café,Café,,https://www.google.com/maps/place/Amea+Caf%C3%A9/data=!4m2!3m1!1s0x4cc91bc69a34536f:0x40954bc0e911e529
Canada,Montréal,Big Daddy Fitness,Sport & plein air,,https://www.google.com/maps/place/Big+Daddy+Fitness+%7C+Montreal+luxury+gym+and+memberships/data=!4m2!3m1!1s0x4cc9190bbcc7b45f:0xe52d8691051093eb
Canada,Montréal,"Bota Bota, spa-sur-l'eau",Spa,,"https://www.google.com/maps/place/Bota+Bota,+spa-sur-l'eau/data=!4m2!3m1!1s0x4cc91af66762343f:0x953387ee0c48e720"
Canada,Montréal,Cafe Fernanda,Café,,https://www.google.com/maps/place/Cafe+Fernanda/data=!4m2!3m1!1s0x4cc9190058c62723:0xc6c0ee27844e59dc
Canada,Montréal,Café Alphabet,Café,,https://www.google.com/maps/place/Caf%C3%A9+Alphabet/data=!4m2!3m1!1s0x4cc919c4751bc203:0x7c7f184db633ee7f
Canada,Montréal,Café In Gamba Parc,Café,,https://www.google.com/maps/place/Caf%C3%A9+In+Gamba+Parc/data=!4m2!3m1!1s0x4cc9197f6decaa53:0x36a65bf484b0af41
Canada,Montréal,Café Olimpico,Café,,https://www.google.com/maps/place/Caf%C3%A9+Olimpico/data=!4m2!3m1!1s0x4cc91a56f3488399:0x93f17136e62e44be
Canada,Montréal,Café Olimpico - Mile End,Café,,https://www.google.com/maps/place/Caf%C3%A9+Olimpico+-+Mile+End/data=!4m2!3m1!1s0x4cc9197949885067:0xbaf85bce3cee2770
Canada,Montréal,Café Redwood,Café,,https://www.google.com/maps/place/Caf%C3%A9+Redwood/data=!4m2!3m1!1s0x4cc91bb8159d73a1:0xa959fdd6d5729560
Canada,Montréal,Carrera's resto,Restaurant,,https://www.google.com/maps/place/Carrera's+resto/data=!4m2!3m1!1s0x4cc925003d28c3ed:0x2d9c16af0a73afba
Canada,Montréal,Centre Surf Inside Oasis Surf,Sport & plein air,,https://www.google.com/maps/place/Centre+Surf+Inside+Oasis+Surf/data=!4m2!3m1!1s0x4cc90f4e8f70097b:0x60af195636e15425
Canada,Montréal,Crew Collective & Cafe,Café,,https://www.google.com/maps/place/Crew+Collective+%26+Cafe/data=!4m2!3m1!1s0x4cc91a584b01d105:0x84862d8825333968
Canada,Montréal,Crêperie Chez Suzette,Pâtisserie,,https://www.google.com/maps/place/Cr%C3%AAperie+Chez+Suzette/data=!4m2!3m1!1s0x4cc91a5700a8415b:0xac72bded03611cb0
Canada,Montréal,C’ChoColat,Pâtisserie,,https://www.google.com/maps/place/C%E2%80%99ChoColat/data=!4m2!3m1!1s0x4cc91b17a4ee1c5d:0x41bb0630a6a04066
Canada,Montréal,Dinette Marcella,Restaurant,,https://www.google.com/maps/place/Dinette+Marcella/data=!4m2!3m1!1s0x4cc91b052e2cc8af:0x7688a472d886d475
Canada,Montréal,Douro Montreal,Restaurant,,https://www.google.com/maps/place/Douro+Montreal/data=!4m2!3m1!1s0x4cc919721b502a53:0xe4cdf399ca2fe107
Canada,Montréal,Duc de Lorraine,Pâtisserie,,https://www.google.com/maps/place/Duc+de+Lorraine/data=!4m2!3m1!1s0x4cc919e6b69540bb:0xc2f1892275a4e131
Canada,Montréal,Dunya,Restaurant,,https://www.google.com/maps/place/Dunya/data=!4m2!3m1!1s0x4cc91b413e4dbb83:0x27fc293750f153da
Canada,Montréal,Four Seasons Hotel Montreal,Hôtel,,https://www.google.com/maps/place/Four+Seasons+Hotel+Montreal/data=!4m2!3m1!1s0x4cc917ee5470a557:0xb0a99c016955de34
Canada,Montréal,Gaspar Brasserie Française,Spa,,https://www.google.com/maps/place/Gaspar+Brasserie+Fran%C3%A7aise/data=!4m2!3m1!1s0x4cc91a5652ccd209:0xbd01b03df6b7f572
Canada,Montréal,Golf Club de l'Île de Montréal,Sport & plein air,,https://www.google.com/maps/place/Golf+Club+de+l'%C3%8Ele+de+Montr%C3%A9al/data=!4m2!3m1!1s0x4cc8e1434c4cd74d:0x8ed9d8a31dc244a4
Canada,Montréal,Golf Saint-Raphaël,Sport & plein air,,https://www.google.com/maps/place/Golf+Saint-Rapha%C3%ABl/data=!4m2!3m1!1s0x4cc93a9524c59b7b:0xc0a77117d97259d2
Canada,Montréal,Grande Bibliothèque - BAnQ,Boutique & culture,,https://www.google.com/maps/place/Grande+Biblioth%C3%A8que+-+BAnQ/data=!4m2!3m1!1s0x4cc91bb33b2f88f9:0xc74e1f9c890593ed
Canada,Montréal,Hiatus Restaurant et Bar,Restaurant,,https://www.google.com/maps/place/Hiatus+Restaurant+et+Bar/data=!4m2!3m1!1s0x4cc91b5f046e7a8b:0xa072bb51c542c62
Canada,Montréal,Holder,Restaurant,,https://www.google.com/maps/place/Holder/data=!4m2!3m1!1s0x4cc91a5923eabba3:0x45b98582bf53985c
Canada,Montréal,"Holt Renfrew Ogilvy | Détaillant en mode designer, beauté et style de vie 
du Canada",Boutique & culture,,"https://www.google.com/maps/place/Holt+Renfrew+Ogilvy+%7C+D%C3%A9taillant+en+mode+designer,+beaut%C3%A9+et+style+de+vie+%0Adu+Canada/data=!4m2!3m1!1s0x4cc91a41f10fcaeb:0xe5ea5e9009dac33a"
Canada,Montréal,Honeyrose Hotel Montreal A Tribute Portfolio Hotel,Hôtel,,https://www.google.com/maps/place/Honeyrose+Hotel+Montreal+A+Tribute+Portfolio+Hotel/data=!4m2!3m1!1s0x4cc91bbb05ad7dc1:0x2a7bfc152188a2b0
Canada,Montréal,Hotel Birks Montreal,Hôtel,,https://www.google.com/maps/place/Hotel+Birks+Montreal/data=!4m2!3m1!1s0x4cc91a45a9ba0c7b:0x317212f3fce5e43b
Canada,Montréal,Hotel Nelligan,Hôtel,,https://www.google.com/maps/place/Hotel+Nelligan/data=!4m2!3m1!1s0x4cc91a5782e67adf:0xfceeba5dde88560e
Canada,Montréal,Hyatt Centric Montreal,Hôtel,,https://www.google.com/maps/place/Hyatt+Centric+Montreal/data=!4m2!3m1!1s0x4cc91a54c1b6d571:0xda8c5ff6e6344e87
Canada,Montréal,Hôtel William Gray,Hôtel,,https://www.google.com/maps/place/H%C3%B4tel+William+Gray/data=!4m2!3m1!1s0x4cc91a56f332c441:0xc62f60004e19c33e
Canada,Montréal,"InterContinental Montreal, an IHG Hotel",Hôtel,,"https://www.google.com/maps/place/InterContinental+Montreal,+an+IHG+Hotel/data=!4m2!3m1!1s0x4cc91a5a487ea26b:0x15df66dbf31d48a"
Canada,Montréal,Jacopo,Restaurant,,https://www.google.com/maps/place/Jacopo/data=!4m2!3m1!1s0x4cc91b56bc71e413:0xf7f6e57bb083e95b
Canada,Montréal,Jean Talon Market,Marché,,https://www.google.com/maps/place/Jean+Talon+Market/data=!4m2!3m1!1s0x4cc919136130849d:0x5c1098d838d87981
Canada,Montréal,Les Madeleines d'Emilie,Pâtisserie,,https://www.google.com/maps/place/Les+Madeleines+d'Emilie/data=!4m2!3m1!1s0x4cc91bce79546241:0x2e978acb941958f4
Canada,Montréal,Maison Privée Vieux-Montréal,Restaurant,,https://www.google.com/maps/place/Maison+Priv%C3%A9e+Vieux-Montr%C3%A9al/data=!4m2!3m1!1s0x4cc91a59eaeabb75:0xed19c7d489778933
Canada,Montréal,Mont éclair,Pâtisserie,,https://www.google.com/maps/place/Mont+%C3%A9clair/data=!4m2!3m1!1s0x4cc91b582646ff0d:0xe08530f4cc615acd
Canada,Montréal,Montréal Marriott Château Champlain,Hôtel,,https://www.google.com/maps/place/Montr%C3%A9al+Marriott+Ch%C3%A2teau+Champlain/data=!4m2!3m1!1s0x4cc91a5cd9b30003:0xe6d5b1d51a39f768
Canada,Montréal,Olive et Gourmando,À découvrir,,https://www.google.com/maps/place/Olive+et+Gourmando/data=!4m2!3m1!1s0x4cc91a5902615863:0x8bd5e7b9b0be142a
Canada,Montréal,Pizzéria NO.900 - Quartier des spectacles,Restaurant,,https://www.google.com/maps/place/Pizz%C3%A9ria+NO.900+-+Quartier+des+spectacles/data=!4m2!3m1!1s0x4cc91b83dec09c93:0x91cc67e5a4a7f8e0
